vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month,borough
2,2022-11-30 23:59:48+00:00,2022-12-01 00:20:42+00:00,1,4.630000000,1.0,N,1,17.500000000,0.500000000,0.500000000,3.000000000,0E-9,0.300000000,0E-9,21.800000000,25,36,2022,11,Brooklyn
2,2022-11-30 23:59:48+00:00,2022-12-01 00:15:22+00:00,,3.520000000,,,0,16.000000000,0E-9,0.500000000,0E-9,0E-9,0.300000000,,16.800000000,256,189,2022,11,Brooklyn
2,2022-11-30 23:50:35+00:00,2022-11-30 23:57:31+00:00,1,2.070000000,2.0,N,1,52.000000000,0E-9,0.500000000,11.060000000,0E-9,0.300000000,0E-9,66.360000000,65,87,2022,11,Brooklyn
2,2022-11-30 23:49:46+00:00,2022-12-01 00:03:01+00:00,1,3.790000000,1.0,N,1,14.000000000,0.500000000,0.500000000,1.500000000,0E-9,0.300000000,0E-9,19.300000000,25,88,2022,11,Brooklyn
2,2022-11-30 23:49:16+00:00,2022-12-01 00:02:19+00:00,1,3.710000000,1.0,N,2,13.000000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,16.800000000,255,79,2022,11,Brooklyn
1,2022-11-30 23:49:02+00:00,2022-11-30 23:52:42+00:00,1,0.800000000,1.0,N,1,5.000000000,0.500000000,0.500000000,1.550000000,0E-9,0.300000000,0E-9,7.850000000,25,181,2022,11,Brooklyn
2,2022-11-30 23:48:53+00:00,2022-11-30 23:58:41+00:00,3,1.740000000,1.0,N,1,8.500000000,0.500000000,0.500000000,1.000000000,0E-9,0.300000000,0E-9,10.800000000,181,52,2022,11,Brooklyn
2,2022-11-30 23:45:47+00:00,2022-12-01 00:02:53+00:00,1,3.650000000,1.0,N,1,14.000000000,0.500000000,0.500000000,4.590000000,0E-9,0.300000000,0E-9,19.890000000,255,225,2022,11,Brooklyn
2,2022-11-30 23:41:00+00:00,2022-11-30 23:57:00+00:00,,3.620000000,,,0,22.300000000,0E-9,0.500000000,4.620000000,0E-9,0.300000000,,27.720000000,255,146,2022,11,Brooklyn
1,2022-11-30 23:40:48+00:00,2022-12-01 00:08:49+00:00,,0E-9,,,0,35.700000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,,39.000000000,255,180,2022,11,Brooklyn
2,2022-11-30 23:39:40+00:00,2022-11-30 23:50:25+00:00,1,2.080000000,1.0,N,1,9.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,10.800000000,66,40,2022,11,Brooklyn
2,2022-11-30 23:39:14+00:00,2022-11-30 23:58:47+00:00,1,4.500000000,1.0,N,1,17.500000000,0.500000000,0.500000000,4.260000000,0E-9,0.300000000,0E-9,25.560000000,25,90,2022,11,Brooklyn
2,2022-11-30 23:37:10+00:00,2022-11-30 23:43:26+00:00,1,1.210000000,1.0,N,2,6.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,7.800000000,37,37,2022,11,Brooklyn
2,2022-11-30 23:33:53+00:00,2022-11-30 23:56:30+00:00,1,3.970000000,1.0,N,1,17.000000000,0.500000000,0.500000000,3.660000000,0E-9,0.300000000,0E-9,21.960000000,255,198,2022,11,Brooklyn
1,2022-11-30 23:33:08+00:00,2022-11-30 23:36:20+00:00,1,0.100000000,5.0,N,1,58.000000000,0E-9,0E-9,0E-9,0E-9,0.300000000,0E-9,58.300000000,25,25,2022,11,Brooklyn
2,2022-11-30 23:33:02+00:00,2022-11-30 23:53:40+00:00,,7.830000000,,,0,25.360000000,0E-9,0.500000000,5.280000000,6.550000000,0.300000000,,40.490000000,80,263,2022,11,Brooklyn
2,2022-11-30 23:32:46+00:00,2022-11-30 23:42:46+00:00,2,3.490000000,1.0,N,1,12.500000000,0.500000000,0.500000000,4.000000000,0E-9,0.300000000,0E-9,17.800000000,80,65,2022,11,Brooklyn
2,2022-11-30 23:32:03+00:00,2022-11-30 23:36:42+00:00,,0.980000000,,,0,26.850000000,0E-9,0.500000000,0E-9,0E-9,0.300000000,,27.650000000,112,112,2022,11,Brooklyn
2,2022-11-30 23:31:21+00:00,2022-11-30 23:40:56+00:00,,2.460000000,,,0,13.970000000,0E-9,0.500000000,0E-9,0E-9,0.300000000,,14.770000000,49,256,2022,11,Brooklyn
2,2022-11-30 23:29:31+00:00,2022-11-30 23:40:48+00:00,,2.850000000,,,0,16.600000000,0E-9,0.500000000,3.480000000,0E-9,0.300000000,,20.880000000,256,65,2022,11,Brooklyn
2,2022-11-30 23:28:41+00:00,2022-11-30 23:45:59+00:00,1,5.350000000,1.0,N,1,18.000000000,0.500000000,0.500000000,4.360000000,0E-9,0.300000000,0E-9,26.160000000,80,237,2022,11,Brooklyn
2,2022-11-30 23:26:53+00:00,2022-11-30 23:42:53+00:00,,5.650000000,,,0,19.720000000,0E-9,0.500000000,4.440000000,6.550000000,0.300000000,,34.010000000,80,170,2022,11,Brooklyn
2,2022-11-30 23:26:45+00:00,2022-11-30 23:51:33+00:00,1,15.390000000,1.0,N,1,42.000000000,0.500000000,0.500000000,7.000000000,11.550000000,0.300000000,0E-9,61.850000000,97,118,2022,11,Brooklyn
2,2022-11-30 23:26:42+00:00,2022-11-30 23:37:21+00:00,1,3.380000000,1.0,N,1,12.500000000,0.500000000,0.500000000,2.760000000,0E-9,0.300000000,0E-9,16.560000000,255,66,2022,11,Brooklyn
2,2022-11-30 23:25:30+00:00,2022-11-30 23:43:33+00:00,1,5.260000000,1.0,N,1,18.500000000,0.500000000,0.500000000,3.960000000,0E-9,0.300000000,0E-9,23.760000000,80,181,2022,11,Brooklyn
1,2022-11-30 23:25:20+00:00,2022-11-30 23:29:28+00:00,0,0.800000000,1.0,N,2,5.000000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,6.300000000,36,37,2022,11,Brooklyn
2,2022-11-30 23:23:15+00:00,2022-11-30 23:23:19+00:00,1,0E-9,5.0,N,1,30.000000000,0E-9,0E-9,0E-9,0E-9,0.300000000,0E-9,30.300000000,76,76,2022,11,Brooklyn
1,2022-11-30 23:22:49+00:00,2022-11-30 23:39:04+00:00,1,4.700000000,1.0,N,1,15.000000000,3.000000000,0.500000000,1.880000000,0E-9,0.300000000,0E-9,20.680000000,80,141,2022,11,Brooklyn
1,2022-11-30 23:21:26+00:00,2022-11-30 23:51:06+00:00,1,0E-9,1.0,N,1,31.200000000,0E-9,0.500000000,0E-9,0E-9,0.300000000,0E-9,32.000000000,21,61,2022,11,Brooklyn
2,2022-11-30 23:21:00+00:00,2022-11-30 23:44:00+00:00,,4.480000000,,,0,23.870000000,0E-9,0.500000000,4.930000000,0E-9,0.300000000,,29.600000000,255,61,2022,11,Brooklyn
2,2022-11-30 23:19:54+00:00,2022-11-30 23:25:54+00:00,1,0.790000000,1.0,N,1,5.500000000,0.500000000,0.500000000,2.320000000,0E-9,0.300000000,0E-9,11.620000000,256,137,2022,11,Brooklyn
2,2022-11-30 23:19:19+00:00,2022-11-30 23:23:04+00:00,1,0.990000000,1.0,N,1,5.500000000,0.500000000,0.500000000,1.360000000,0E-9,0.300000000,0E-9,8.160000000,97,49,2022,11,Brooklyn
2,2022-11-30 23:10:50+00:00,2022-11-30 23:33:48+00:00,1,8.880000000,1.0,N,1,27.000000000,0.500000000,0.500000000,5.540000000,0E-9,0.300000000,0E-9,36.340000000,65,239,2022,11,Brooklyn
2,2022-11-30 23:10:35+00:00,2022-11-30 23:16:05+00:00,1,0.880000000,1.0,N,1,5.500000000,0.500000000,0.500000000,9.100000000,0E-9,0.300000000,0E-9,15.900000000,61,62,2022,11,Brooklyn
2,2022-11-30 23:10:14+00:00,2022-11-30 23:39:35+00:00,2,14.310000000,1.0,N,1,40.500000000,0.500000000,0.500000000,13.290000000,0E-9,0.300000000,0E-9,57.590000000,40,137,2022,11,Brooklyn
2,2022-11-30 23:08:44+00:00,2022-11-30 23:34:06+00:00,1,5.960000000,1.0,N,2,21.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,25.300000000,256,161,2022,11,Brooklyn
2,2022-11-30 23:08:26+00:00,2022-11-30 23:11:28+00:00,1,0.660000000,1.0,N,2,4.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,5.800000000,33,52,2022,11,Brooklyn
2,2022-11-30 23:08:06+00:00,2022-11-30 23:08:13+00:00,1,0.020000000,5.0,N,1,55.000000000,0E-9,0.500000000,5.000000000,0E-9,0.300000000,0E-9,60.800000000,256,256,2022,11,Brooklyn
1,2022-11-30 23:05:41+00:00,2022-11-30 23:18:10+00:00,1,2.800000000,1.0,N,1,12.000000000,3.000000000,0.500000000,3.150000000,0E-9,0.300000000,0E-9,18.950000000,256,232,2022,11,Brooklyn
2,2022-11-30 23:04:47+00:00,2022-11-30 23:04:53+00:00,1,0E-9,5.0,N,1,74.550000000,0E-9,0E-9,18.710000000,0E-9,0.300000000,0E-9,93.560000000,40,40,2022,11,Brooklyn
2,2022-11-30 23:02:15+00:00,2022-11-30 23:15:33+00:00,1,2.800000000,5.0,N,1,45.000000000,0E-9,0E-9,9.060000000,0E-9,0.300000000,0E-9,54.360000000,256,198,2022,11,Brooklyn
2,2022-11-30 23:01:46+00:00,2022-11-30 23:16:32+00:00,,3.270000000,,,0,21.040000000,0E-9,0.500000000,4.370000000,0E-9,0.300000000,,26.210000000,97,255,2022,11,Brooklyn
1,2022-11-30 23:01:27+00:00,2022-11-30 23:07:47+00:00,2,1.700000000,1.0,N,1,7.000000000,0.500000000,0.500000000,1.650000000,0E-9,0.300000000,0E-9,9.950000000,17,61,2022,11,Brooklyn
2,2022-11-30 22:57:53+00:00,2022-11-30 23:02:33+00:00,1,0.920000000,1.0,N,1,5.500000000,0.500000000,0.500000000,1.360000000,0E-9,0.300000000,0E-9,8.160000000,112,93,2022,11,Brooklyn
1,2022-11-30 22:56:10+00:00,2022-11-30 23:20:06+00:00,2,10.200000000,1.0,Y,1,30.500000000,0.500000000,0.500000000,7.950000000,0E-9,0.300000000,0E-9,39.750000000,97,95,2022,11,Brooklyn
