pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-11-30 23:59:48+00:00,2022-12-01 00:15:22+00:00,3.520000000,16.000000000,0,16.800000000,Brooklyn
2022-11-30 23:59:48+00:00,2022-12-01 00:20:42+00:00,4.630000000,17.500000000,1,21.800000000,Brooklyn
2022-11-30 23:50:35+00:00,2022-11-30 23:57:31+00:00,2.070000000,52.000000000,1,66.360000000,Brooklyn
2022-11-30 23:49:46+00:00,2022-12-01 00:03:01+00:00,3.790000000,14.000000000,1,19.300000000,Brooklyn
2022-11-30 23:49:16+00:00,2022-12-01 00:02:19+00:00,3.710000000,13.000000000,2,16.800000000,Brooklyn
2022-11-30 23:49:02+00:00,2022-11-30 23:52:42+00:00,0.800000000,5.000000000,1,7.850000000,Brooklyn
2022-11-30 23:48:53+00:00,2022-11-30 23:58:41+00:00,1.740000000,8.500000000,1,10.800000000,Brooklyn
2022-11-30 23:45:47+00:00,2022-12-01 00:02:53+00:00,3.650000000,14.000000000,1,19.890000000,Brooklyn
2022-11-30 23:41:00+00:00,2022-11-30 23:57:00+00:00,3.620000000,22.300000000,0,27.720000000,Brooklyn
2022-11-30 23:40:48+00:00,2022-12-01 00:08:49+00:00,0E-9,35.700000000,0,39.000000000,Brooklyn
2022-11-30 23:39:40+00:00,2022-11-30 23:50:25+00:00,2.080000000,9.500000000,1,10.800000000,Brooklyn
2022-11-30 23:39:14+00:00,2022-11-30 23:58:47+00:00,4.500000000,17.500000000,1,25.560000000,Brooklyn
2022-11-30 23:37:10+00:00,2022-11-30 23:43:26+00:00,1.210000000,6.500000000,2,7.800000000,Brooklyn
2022-11-30 23:33:53+00:00,2022-11-30 23:56:30+00:00,3.970000000,17.000000000,1,21.960000000,Brooklyn
2022-11-30 23:33:08+00:00,2022-11-30 23:36:20+00:00,0.100000000,58.000000000,1,58.300000000,Brooklyn
2022-11-30 23:33:02+00:00,2022-11-30 23:53:40+00:00,7.830000000,25.360000000,0,40.490000000,Brooklyn
2022-11-30 23:32:46+00:00,2022-11-30 23:42:46+00:00,3.490000000,12.500000000,1,17.800000000,Brooklyn
2022-11-30 23:32:03+00:00,2022-11-30 23:36:42+00:00,0.980000000,26.850000000,0,27.650000000,Brooklyn
2022-11-30 23:31:21+00:00,2022-11-30 23:40:56+00:00,2.460000000,13.970000000,0,14.770000000,Brooklyn
2022-11-30 23:29:31+00:00,2022-11-30 23:40:48+00:00,2.850000000,16.600000000,0,20.880000000,Brooklyn
2022-11-30 23:28:41+00:00,2022-11-30 23:45:59+00:00,5.350000000,18.000000000,1,26.160000000,Brooklyn
2022-11-30 23:26:53+00:00,2022-11-30 23:42:53+00:00,5.650000000,19.720000000,0,34.010000000,Brooklyn
2022-11-30 23:26:45+00:00,2022-11-30 23:51:33+00:00,15.390000000,42.000000000,1,61.850000000,Brooklyn
2022-11-30 23:26:42+00:00,2022-11-30 23:37:21+00:00,3.380000000,12.500000000,1,16.560000000,Brooklyn
2022-11-30 23:25:30+00:00,2022-11-30 23:43:33+00:00,5.260000000,18.500000000,1,23.760000000,Brooklyn
2022-11-30 23:25:20+00:00,2022-11-30 23:29:28+00:00,0.800000000,5.000000000,2,6.300000000,Brooklyn
2022-11-30 23:23:15+00:00,2022-11-30 23:23:19+00:00,0E-9,30.000000000,1,30.300000000,Brooklyn
2022-11-30 23:22:49+00:00,2022-11-30 23:39:04+00:00,4.700000000,15.000000000,1,20.680000000,Brooklyn
2022-11-30 23:21:26+00:00,2022-11-30 23:51:06+00:00,0E-9,31.200000000,1,32.000000000,Brooklyn
2022-11-30 23:21:00+00:00,2022-11-30 23:44:00+00:00,4.480000000,23.870000000,0,29.600000000,Brooklyn
2022-11-30 23:19:54+00:00,2022-11-30 23:25:54+00:00,0.790000000,5.500000000,1,11.620000000,Brooklyn
