pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2023-04-18 14:30:05+00:00,2023-04-18 23:30:39+00:00,0.930000000,52.000000000,1,70.690000000,Manhattan
2022-12-01 23:55:39+00:00,2022-12-02 00:07:25+00:00,2.390000000,10.500000000,1,17.160000000,Manhattan
2022-12-01 16:02:04+00:00,2022-12-01 16:08:52+00:00,0.800000000,6.000000000,1,10.790000000,Manhattan
2022-12-01 15:42:34+00:00,2022-12-01 15:50:21+00:00,0.670000000,6.000000000,1,10.700000000,Manhattan
2022-12-01 15:32:11+00:00,2022-12-01 15:39:56+00:00,0.620000000,6.000000000,2,9.300000000,Manhattan
2022-12-01 15:22:06+00:00,2022-12-01 15:30:44+00:00,0.870000000,7.000000000,2,10.300000000,Manhattan
2022-12-01 14:52:26+00:00,2022-12-01 15:11:26+00:00,1.490000000,12.500000000,1,18.960000000,Manhattan
2022-12-01 14:33:35+00:00,2022-12-01 14:50:32+00:00,1.030000000,11.000000000,1,15.300000000,Manhattan
2022-12-01 14:06:11+00:00,2022-12-01 14:16:03+00:00,0.960000000,7.500000000,1,12.960000000,Manhattan
2022-12-01 13:55:26+00:00,2022-12-01 14:03:13+00:00,0.870000000,6.500000000,1,11.760000000,Manhattan
2022-12-01 13:15:17+00:00,2022-12-01 13:47:39+00:00,2.960000000,20.000000000,1,27.960000000,Manhattan
2022-12-01 13:02:03+00:00,2022-12-01 13:05:27+00:00,0.500000000,4.000000000,1,9.120000000,Manhattan
2022-12-01 12:49:57+00:00,2022-12-01 13:01:04+00:00,1.380000000,8.500000000,1,14.160000000,Manhattan
2022-12-01 12:35:34+00:00,2022-12-01 12:48:56+00:00,2.180000000,10.500000000,1,16.560000000,Manhattan
2022-12-01 12:13:06+00:00,2022-12-01 12:32:08+00:00,1.790000000,12.500000000,1,18.960000000,Manhattan
2022-12-01 12:02:20+00:00,2022-12-01 12:09:13+00:00,0.610000000,6.000000000,1,11.160000000,Manhattan
