pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-12-01 11:07:21+00:00,2022-12-01 12:10:10+00:00,8.730000000,43.000000000,1,57.660000000,Queens
2022-12-01 10:40:20+00:00,2022-12-01 11:26:03+00:00,9.340000000,36.500000000,1,55.000000000,Queens
2022-12-01 08:54:21+00:00,2022-12-01 09:41:52+00:00,24.850000000,140.000000000,1,140.300000000,Queens
2022-12-01 06:36:41+00:00,2022-12-01 06:51:29+00:00,4.280000000,14.000000000,1,19.300000000,Queens
2022-11-30 23:59:52+00:00,2022-12-01 00:05:36+00:00,1.730000000,7.000000000,2,9.550000000,Queens
2022-11-30 23:59:51+00:00,2022-12-01 00:11:48+00:00,5.900000000,18.000000000,1,25.650000000,Queens
2022-11-30 23:59:47+00:00,2022-12-01 00:21:44+00:00,13.610000000,37.500000000,2,40.050000000,Queens
2022-11-30 23:59:44+00:00,2022-12-01 00:46:43+00:00,21.100000000,52.000000000,1,73.100000000,Queens
2022-11-30 23:59:16+00:00,2022-12-01 00:36:41+00:00,10.560000000,35.000000000,2,37.550000000,Queens
2022-11-30 23:59:01+00:00,2022-12-01 00:15:16+00:00,6.570000000,21.500000000,1,28.610000000,Queens
2022-11-30 23:59:01+00:00,2022-12-01 00:29:09+00:00,17.300000000,52.000000000,1,66.550000000,Queens
2022-11-30 23:58:50+00:00,2022-12-01 00:00:03+00:00,0E-9,35.000000000,1,50.300000000,Queens
2022-11-30 23:58:48+00:00,2022-12-01 00:23:11+00:00,14.330000000,39.500000000,1,61.320000000,Queens
2022-11-30 23:58:38+00:00,2022-12-01 00:27:45+00:00,19.280000000,52.000000000,1,75.470000000,Queens
2022-11-30 23:58:14+00:00,2022-12-01 00:25:05+00:00,17.920000000,52.000000000,1,75.470000000,Queens
2022-11-30 23:58:06+00:00,2022-12-01 00:32:29+00:00,18.270000000,52.000000000,1,67.860000000,Queens
2022-11-30 23:58:05+00:00,2022-12-01 00:23:14+00:00,17.300000000,52.000000000,1,67.850000000,Queens
2022-11-30 23:58:03+00:00,2022-12-01 00:23:17+00:00,13.360000000,37.500000000,1,47.810000000,Queens
2022-11-30 23:58:01+00:00,2022-12-01 00:38:58+00:00,26.060000000,70.500000000,1,87.410000000,Queens
2022-11-30 23:57:59+00:00,2022-12-01 00:12:36+00:00,4.290000000,20.000000000,1,25.610000000,Queens
2022-11-30 23:57:57+00:00,2022-12-01 00:37:32+00:00,23.240000000,63.500000000,2,72.600000000,Queens
2022-11-30 23:57:54+00:00,2022-12-01 00:13:27+00:00,8.510000000,24.500000000,1,41.520000000,Queens
2022-11-30 23:57:53+00:00,2022-12-01 00:14:02+00:00,9.260000000,26.000000000,1,34.010000000,Queens
2022-11-30 23:57:49+00:00,2022-12-01 00:12:47+00:00,5.330000000,17.500000000,2,18.800000000,Queens
2022-11-30 23:57:47+00:00,2022-12-01 00:24:50+00:00,15.080000000,41.500000000,1,61.100000000,Queens
2022-11-30 23:57:31+00:00,2022-12-01 00:21:40+00:00,15.090000000,41.500000000,1,48.450000000,Queens
2022-11-30 23:56:45+00:00,2022-12-01 00:28:42+00:00,16.850000000,52.000000000,2,63.100000000,Queens
2022-11-30 23:56:40+00:00,2022-12-01 00:27:43+00:00,18.850000000,52.000000000,2,56.550000000,Queens
2022-11-30 23:56:39+00:00,2022-12-01 00:28:51+00:00,17.750000000,52.000000000,2,63.100000000,Queens
2022-11-30 23:56:37+00:00,2022-12-01 00:28:59+00:00,16.500000000,47.500000000,1,48.800000000,Queens
2022-11-30 23:56:35+00:00,2022-12-01 00:15:42+00:00,11.280000000,31.500000000,1,34.050000000,Queens
2022-11-30 23:56:08+00:00,2022-12-01 00:15:59+00:00,8.370000000,26.000000000,1,45.120000000,Queens
2022-11-30 23:56:07+00:00,2022-12-01 00:25:42+00:00,8.700000000,29.000000000,1,49.150000000,Queens
2022-11-30 23:56:05+00:00,2022-12-01 00:30:32+00:00,20.220000000,55.500000000,1,75.090000000,Queens
2022-11-30 23:56:04+00:00,2022-12-01 00:14:11+00:00,10.530000000,52.000000000,1,66.850000000,Queens
2022-11-30 23:55:59+00:00,2022-12-01 00:17:27+00:00,11.600000000,32.500000000,1,56.150000000,Queens
2022-11-30 23:55:59+00:00,2022-12-01 00:13:54+00:00,7.420000000,23.000000000,1,30.410000000,Queens
2022-11-30 23:55:53+00:00,2022-12-01 00:31:16+00:00,26.900000000,70.500000000,1,87.050000000,Queens
2022-11-30 23:55:42+00:00,2022-12-01 00:14:04+00:00,8.680000000,26.000000000,2,35.100000000,Queens
2022-11-30 23:55:38+00:00,2022-12-01 00:11:39+00:00,7.250000000,21.500000000,1,30.890000000,Queens
